"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","106","0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1506,1013,2237
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","107","1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1583,1061,2360
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","108","G/10, Mariappanapalya, Rajaji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1511,1008,2263
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","109","0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1886,1280,2778
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","110","400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2274,1597,3235
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","111","1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2035,1431,2892
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","112","0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1945,1337,2828
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","113","Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1785,1216,2618
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","114","0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1951,1375,2767
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","115","200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1853,1296,2649
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","116","0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2081,1479,2927
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","117","1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1803,1262,2575
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","118","0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1696,1179,2438
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","119","0 5th Main Road, Kempapura Agrahara, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1651,1100,2477
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","120","1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1771,1221,2566
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","121","2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1651,1128,2415
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","122","0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1659,1130,2433
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","123","400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1414,956,2089
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","124","0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1156,779,1714
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","125","0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1220,823,1808
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","126","300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1483,1019,2157
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","127","0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1372,948,1984
