sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
110,32,19,2323.73,1223.67,2149.42,1.42
110,33,8,1335.25,399.83,1281.49,1.33
110,33,13,1563.69,373.06,1524.3,1.25
110,33,18,1984.39,567.63,1902.49,1.34
110,33,23,1246,450.27,1181.07,1.37
110,34,7,1231.82,323.6,1195.99,1.26
110,34,12,1634.65,966.31,1527.29,1.35
110,34,17,1729.36,531.39,1661.22,1.32
110,34,22,1455.66,906.99,1326.27,1.46
110,35,1,915.33,356.57,859.27,1.41
110,35,6,863.07,226.74,836.96,1.27
110,35,11,1251.33,337.3,1212.39,1.28
110,35,16,1175.25,348.2,1133.68,1.29
110,35,21,1114.81,257.64,1087.15,1.25
110,36,0,648.2,373.05,586.66,1.49
110,36,5,714.94,314.25,661.74,1.45
110,36,10,1015.37,319.23,972.37,1.33
110,36,15,936.43,393.43,878.98,1.4
110,36,20,988.41,363.68,937.06,1.37
110,37,4,387.84,184.91,358.99,1.44
110,37,9,800.29,340.34,739.56,1.48
110,37,14,715.85,278.05,675.29,1.39
110,37,19,865.86,293.72,821.52,1.38
110,38,3,106.26,147.49,54.19,3.12
110,38,8,106.82,165.29,55.07,3.36
110,38,13,120.82,158.61,64.92,3.32
110,38,18,163.83,225.57,89.96,3.16
110,38,23,89.77,132.11,48.02,3.08
110,39,2,671.33,262.9,609.24,1.6
110,39,7,760.44,346.62,691.1,1.54
110,39,12,881.35,426.67,802.52,1.52
110,39,17,933.72,573.37,823.06,1.61
110,39,22,852.54,486.98,749.06,1.65
110,40,0,926.26,315.09,882.39,1.35
110,40,5,1002.93,367.77,944.64,1.4
110,40,10,1414.71,354.44,1373.85,1.27
110,40,15,1324.92,324.01,1287.34,1.27
110,40,20,1468.25,437.5,1415.91,1.3
110,41,4,782.68,296.49,732.8,1.44
110,41,9,1142.34,348.16,1095.37,1.33
110,41,14,1076.94,366.58,1028.79,1.34
110,41,19,1417.77,445.54,1353.7,1.35
110,42,8,976.36,210.35,955.01,1.23
110,42,13,1009.76,286.82,975.2,1.29
110,42,18,1494.79,835.9,1342.13,1.57
110,42,23,746.07,309.77,701.7,1.38
110,43,2,498.17,234.49,441.22,1.66
110,43,7,522.95,231.9,482.76,1.48
110,43,12,650.35,254.49,603.58,1.49
110,43,17,631.94,283.19,579.5,1.55
110,43,22,549.49,331.87,495.69,1.54
110,44,1,602.92,313.87,540.9,1.56
110,44,6,506.86,187.07,477.55,1.4
110,44,11,837.51,306.17,791.74,1.39
110,44,16,788.57,249.05,753.16,1.35
110,44,21,768.03,287.01,724.04,1.4
110,45,0,1400.81,431.21,1341.29,1.34
110,45,5,1385.2,387.47,1335.3,1.31
110,45,10,2052.33,417.54,2012.24,1.22
110,45,15,1994.81,421.57,1951.85,1.23
110,45,20,2036.83,537.39,1980.95,1.25
110,46,9,1902.5,311.93,1877.76,1.17
110,46,14,1935.74,486.22,1880.96,1.26
110,46,19,2297.58,475.31,2246.94,1.24
110,47,3,1126.53,330.49,1084.52,1.31
110,47,8,1471.05,340.25,1436.05,1.24
110,47,13,1596.66,347.41,1562.16,1.23
110,47,18,2059.97,466.85,2007.88,1.26
110,47,23,1212.83,325.2,1172.75,1.29
110,48,2,1256.17,345.42,1214.75,1.29
110,48,7,1535.05,303.2,1506.37,1.21
110,48,12,2030.07,337.41,2003.21,1.18
110,48,17,2139.03,434.99,2097.45,1.22
110,48,22,1505.57,356.68,1464.25,1.27
110,49,1,856.67,124.17,848.4,1.15
110,49,6,1112.83,365.1,1062.02,1.34
110,49,11,1737.55,377.53,1697.13,1.24
110,49,16,1668.38,333.84,1636.24,1.22
110,49,21,1710.79,490.02,1649.54,1.3
